date,longitude,latitude,garagecode,occupancy rate
2014-07-09,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-10,10.197,56.1527,SCANDCENTER,0.3250504032258064
2014-07-10,10.2049,56.15679,MAGASIN,0.2696354166666667
2014-07-10,10.20596,56.14951,BRUUNS,0.1938833508219657
2014-07-10,10.206,56.15561,BUSGADEHUSET,1.434455128205128
2014-07-10,10.20818,56.15441,SALLING,0.23907738095238093
2014-07-10,10.21149,56.14952,KALKVAERKSVEJ,0.20109126984126982
2014-07-10,10.21284,56.16184,NORREPORT,0.0
2014-07-10,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-11,10.197,56.1527,SCANDCENTER,0.29065860215053757
2014-07-11,10.2049,56.15679,MAGASIN,0.28640625000000003
2014-07-11,10.20596,56.14951,BRUUNS,0.1717165092689751
2014-07-11,10.206,56.15561,BUSGADEHUSET,1.0219551282051282
2014-07-11,10.20818,56.15441,SALLING,0.22666666666666666
2014-07-11,10.21149,56.14952,KALKVAERKSVEJ,0.19166666666666665
2014-07-11,10.21284,56.16184,NORREPORT,0.796474358974359
2014-07-11,10.21353,56.15659,SKOLEBAKKEN,0.3719482421875
2014-07-12,10.197,56.1527,SCANDCENTER,0.19670698924731178
2014-07-12,10.2049,56.15679,MAGASIN,0.21645833333333334
2014-07-12,10.20596,56.14951,BRUUNS,0.13457502623294856
2014-07-12,10.206,56.15561,BUSGADEHUSET,0.7282051282051282
2014-07-12,10.20818,56.15441,SALLING,0.16357142857142853
2014-07-12,10.21149,56.14952,KALKVAERKSVEJ,0.14345238095238091
2014-07-12,10.21284,56.16184,NORREPORT,1.0102564102564102
2014-07-12,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-13,10.197,56.1527,SCANDCENTER,0.18541666666666665
2014-07-13,10.2049,56.15679,MAGASIN,0.11817708333333334
2014-07-13,10.20596,56.14951,BRUUNS,0.14681706890521157
2014-07-13,10.206,56.15561,BUSGADEHUSET,0.7849358974358974
2014-07-13,10.20818,56.15441,SALLING,0.08098214285714282
2014-07-13,10.21149,56.14952,KALKVAERKSVEJ,0.14146825396825394
2014-07-13,10.21284,56.16184,NORREPORT,1.0628205128205128
2014-07-13,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-14,10.197,56.1527,SCANDCENTER,0.2543778801843318
2014-07-14,10.2049,56.15679,MAGASIN,0.2764285714285714
2014-07-14,10.20596,56.14951,BRUUNS,0.2768700344775895
2014-07-14,10.206,56.15561,BUSGADEHUSET,1.1427001569858712
2014-07-14,10.20818,56.15441,SALLING,0.2608163265306122
2014-07-14,10.21149,56.14952,KALKVAERKSVEJ,0.178134110787172
2014-07-14,10.21284,56.16184,NORREPORT,1.0850863422291994
2014-07-14,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-15,10.197,56.1527,SCANDCENTER,0.295766129032258
2014-07-15,10.2049,56.15679,MAGASIN,0.2813541666666667
2014-07-15,10.20596,56.14951,BRUUNS,0.22837967820916402
2014-07-15,10.206,56.15561,BUSGADEHUSET,1.5467948717948719
2014-07-15,10.20818,56.15441,SALLING,0.2551785714285714
2014-07-15,10.21149,56.14952,KALKVAERKSVEJ,0.19494047619047616
2014-07-15,10.21284,56.16184,NORREPORT,1.107371794871795
2014-07-15,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-16,10.197,56.1527,SCANDCENTER,0.2933029453015427
2014-07-16,10.2049,56.15679,MAGASIN,0.24483695652173912
2014-07-16,10.20596,56.14951,BRUUNS,0.19350791550709426
2014-07-16,10.206,56.15561,BUSGADEHUSET,1.6924749163879598
2014-07-16,10.20818,56.15441,SALLING,0.2337267080745341
2014-07-16,10.21149,56.14952,KALKVAERKSVEJ,0.17681159420289855
2014-07-16,10.21284,56.16184,NORREPORT,1.0555183946488294
2014-07-16,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-17,10.197,56.1527,SCANDCENTER,0.24242271505376342
2014-07-17,10.2049,56.15679,MAGASIN,0.23140625
2014-07-17,10.20596,56.14951,BRUUNS,0.19517313746065054
2014-07-17,10.206,56.15561,BUSGADEHUSET,1.8631410256410257
2014-07-17,10.20818,56.15441,SALLING,0.21470238095238092
2014-07-17,10.21149,56.14952,KALKVAERKSVEJ,0.19136904761904758
2014-07-17,10.21284,56.16184,NORREPORT,1.048397435897436
2014-07-17,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-18,10.197,56.1527,SCANDCENTER,0.2335013440860215
2014-07-18,10.2049,56.15679,MAGASIN,0.22604166666666667
2014-07-18,10.20596,56.14951,BRUUNS,0.18561997201818814
2014-07-18,10.206,56.15561,BUSGADEHUSET,2.1783653846153848
2014-07-18,10.20818,56.15441,SALLING,0.21428571428571427
2014-07-18,10.21149,56.14952,KALKVAERKSVEJ,0.17063492063492058
2014-07-18,10.21284,56.16184,NORREPORT,1.0384615384615385
2014-07-18,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-19,10.197,56.1527,SCANDCENTER,0.2026713709677419
2014-07-19,10.2049,56.15679,MAGASIN,0.17718750000000003
2014-07-19,10.20596,56.14951,BRUUNS,0.12720793983910456
2014-07-19,10.206,56.15561,BUSGADEHUSET,2.473878205128205
2014-07-19,10.20818,56.15441,SALLING,0.16157738095238092
2014-07-19,10.21149,56.14952,KALKVAERKSVEJ,0.15962301587301583
2014-07-19,10.21284,56.16184,NORREPORT,1.2974358974358975
2014-07-19,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-20,10.197,56.1527,SCANDCENTER,0.16278561827956986
2014-07-20,10.2049,56.15679,MAGASIN,0.10541666666666666
2014-07-20,10.20596,56.14951,BRUUNS,0.086743616649178
2014-07-20,10.206,56.15561,BUSGADEHUSET,2.456410256410256
2014-07-20,10.20818,56.15441,SALLING,0.06232142857142853
2014-07-20,10.21149,56.14952,KALKVAERKSVEJ,0.15019841269841266
2014-07-20,10.21284,56.16184,NORREPORT,1.330128205128205
2014-07-20,10.21353,56.15659,SKOLEBAKKEN,1.0
2014-07-21,10.197,56.1527,SCANDCENTER,0.20821572580645156
2014-07-21,10.2049,56.15679,MAGASIN,0.23119791666666667
2014-07-21,10.20596,56.14951,BRUUNS,0.18997026932493877
2014-07-21,10.206,56.15561,BUSGADEHUSET,2.7201923076923076
